title,rate,num,info,director,actor,time,country,type
末代皇帝,9.3,777968人,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,贝纳尔多·贝托鲁奇BernardoBertolucci,尊龙JohnLone,1987,英国,剧情
寻梦环游记,9.1,1487987人,死亡不是真的逝去，遗忘才是永恒的消亡。,李·昂克里奇LeeUnkrich,演职人员不详,2017,美国,喜剧
蝙蝠侠：黑暗骑士,9.2,963526人,无尽的黑暗。,克里斯托弗·诺兰ChristopherNolan,克里斯蒂安·贝尔Christ,2008,美国,剧情
活着,9.3,750231人,张艺谋最好的电影。,张艺谋YimouZhang,葛优YouGe,1994,中国大陆,剧情
哈利·波特与魔法石,9.1,1045912人,童话世界的开端。,ChrisColumbus,DanielRadcliffe,2001,美国,奇幻
指环王3：王者无敌,9.3,729133人,史诗的终章。,彼得·杰克逊PeterJackson,伊利亚·伍德ElijahWood,2003,美国,剧情
乱世佳人,9.3,629646人,Tomorrow is another day.,维克多·弗莱明VictorFleming,费,1939,美国,剧情
素媛,9.3,617921人,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,李濬益Jun-ikLee,薛景求Kyung-guSol,2013,韩国,剧情
飞屋环游记,9.1,1209803人,最后那些最无聊的事情，才是最值得怀念的。 ,彼特·道格特PeteDocter,爱德,2009,美国,剧情
摔跤吧！爸爸,9.0,1437555人,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,涅提·蒂瓦里NiteshTiwari,阿米尔·汗AamirKhan,2016,印度,剧情
我不是药神,9.0,1916881人,对我们国家而言，这样的电影多一部是一部。,文牧野MuyeWen,徐峥ZhengXu,2018,中国大陆,剧情
何以为家,9.1,942846人,凝视卑弱生命，用电影改变命运。,娜丁·拉巴基NadineLabaki,扎因·拉费阿Zainal-Rafeea,2018,黎巴嫩,剧情
十二怒汉,9.4,433610人,1957年的理想主义。 ,SidneyLumet,亨利·方达HenryFonda,1957,美国,剧情
哈尔的移动城堡,9.1,916081人,带着心爱的人在天空飞翔。,宫崎骏HayaoMiyazaki,倍赏千惠子ChiekoBaishô,2004,日本,动画
少年派的奇幻漂流,9.1,1244721人,瑰丽壮观、无人能及的冒险之旅。,李安AngLee,苏拉·沙玛SurajSharma,2012,美国,剧情
鬼子来了,9.3,563959人,对敌人的仁慈，就是对自己残忍。,姜文WenJiang,姜文WenJiang,2000,中国大陆,剧情
大话西游之月光宝盒,9.0,1117834人,旷古烁今。,刘镇伟JeffreyLau,周星驰StephenChow,1995,中国香港,喜剧
猫鼠游戏,9.1,885306人,骗子大师和执著警探的你追我跑故事。 ,史蒂文·斯皮尔伯格StevenSpielberg,莱昂纳多·迪卡普里奥L,2002,美国,传记
天空之城,9.1,751073人,对天空的追逐，永不停止。 ,宫崎骏HayaoMiyazaki,田中真弓MayumiTanaka,1986,日本,动画
天堂电影院,9.2,629468人,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,朱塞佩·托纳多雷GiuseppeTornatore,菲利普·努瓦雷Philipp,1988,意大利,剧情
闻香识女人,9.1,793708人,史上最美的探戈。,马丁·布莱斯MartinBrest,阿尔·帕西诺AlPacino,1992,美国,剧情
指环王2：双塔奇兵,9.2,680784人,承前启后的史诗篇章。,彼得·杰克逊PeterJackson,伊利亚·伍德ElijahWood,2002,美国,剧情
钢琴家,9.3,547596人,音乐能化解仇恨。,罗曼·波兰斯基RomanPolanski,艾德里安·布洛迪AdrienBrod,2002,英国,剧情
让子弹飞,8.9,1519877人,你给我翻译翻译，神马叫做TMD的惊喜。,姜文WenJiang,姜文WenJiang,2010,中国大陆,剧情
罗马假日,9.1,877043人,爱情哪怕只有一天。,威廉·惠勒WilliamWyler,奥黛丽·赫本AudreyHepburn,1953,美国,喜剧
海蒂和爷爷,9.3,491449人,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,阿兰·葛斯彭纳AlainGsponer,阿努克·斯特芬AnukSteffen,2015,德国,剧情
指环王1：护戒使者,9.1,769365人,传说的开始。,彼得·杰克逊PeterJackson,伊利亚·伍德ElijahWood,2001,新西兰,剧情
黑客帝国,9.1,766080人,视觉革命。,安迪·沃卓斯基AndyWachowski,演职人员不详,1999,美国,动作
大闹天宫,9.4,386217人,经典之作，历久弥新。,万籁鸣LaimingWan,邱岳峰YuefengQiu,1961(中国大陆),1964,剧情
教父2,9.2,492563人,优雅的孤独。,弗朗西斯·福特·科波拉FrancisFordCoppola,阿尔·帕西诺A,1974,美国,剧情
死亡诗社,9.1,641075人,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,彼得·威尔PeterWeir,罗宾·威廉姆斯RobinWilliams,1989,美国,剧情
辩护人,9.2,542483人,电影的现实意义大过电影本身。,杨宇硕Woo-seokYang,宋康昊Kang-hoSong,2013,韩国,剧情
狮子王,9.1,758213人,动物版《哈姆雷特》。,RogerAllers,乔纳森·泰勒·托马,1994,美国,动画
绿皮书,8.9,1464239人,去除成见，需要勇气。,彼得·法雷里PeterFarrelly,维果·莫腾森ViggoMortensen,2018,美国,剧情
搏击俱乐部,9.0,774012人,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,大卫·芬奇DavidFincher,爱德华·诺顿EdwardNorton,1999,美国,剧情
饮食男女,9.2,553946人,人生不能像做菜，把所有的料都准备好了才下锅。,李安AngLee,郎雄SihungLung,1994,中国台湾,剧情
美丽心灵,9.1,699871人,爱是一切逻辑和原由。,朗·霍华德RonHoward,罗素·克劳RussellCrowe,2001,美国,传记
本杰明·巴顿奇事,9.0,898892人,在时间之河里感受溺水之苦。,大卫·芬奇DavidFincher,凯特·布兰切特CateBlanchett,2008,美国,剧情
