title,rate,num,info,director,actor,time,country,type
小偷家族,8.7,752463人,我们组成了家。,是枝裕和HirokazuKoreeda,中川雅也LilyFranky,2018,日本,剧情
贫民窟的百万富翁,8.6,690146人,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,丹尼·鲍尔DannyBoyle,戴夫,2008,英国,剧情
色，戒,8.6,675228人,假戏真情，爱欲深海,李安AngLee,梁朝伟TonyLeungChiuWai,2007,中国台湾,剧情
真爱至上,8.6,670248人,爱，是个动词。,理查德·柯蒂斯RichardCurtis,休·格兰特HughGrant,2003,英国,喜剧
东邪西毒,8.6,531101人,电影诗。,王家卫KarWaiWong,张国荣LeslieCheung,1994,中国香港,剧情
无敌破坏王,8.7,486216人,迪士尼和皮克斯拿错剧本的产物。,瑞奇·莫尔RichMoore,约翰·C·赖利JohnC.Reilly,2012,美国,喜剧
疯狂的石头,8.5,740251人,中国版《两杆大烟枪》。,宁浩HaoNing,郭涛TaoGuo,2006,中国大陆,喜剧
冰川时代,8.6,561910人,松鼠才是角儿。,卡洛斯·沙尔丹哈CarlosSaldanha,演职人员不详,2002,美国,喜剧
雨中曲,9.1,195724人,骨灰级歌舞片。,斯坦利·多南StanleyDonen,吉恩·,1952,美国,喜剧
黑天鹅,8.6,733422人,黑暗之美。,达伦·阿罗诺夫斯基DarrenAronofsky,娜塔莉·波特曼Natalie,2010,美国,剧情
你看起来好像很好吃,8.9,304814人,感情不分食草或者食肉。,藤森雅也MasayaFujimori,山口胜平KappeiYamaguchi,2010,日本,剧情
恐怖游轮,8.5,759978人,不要企图在重复中寻找已经失去的爱。,克里斯托弗·史密斯ChristopherSmith,梅利莎·乔治Melissa,2009,英国,剧情
2001太空漫游,8.9,281028人,现代科幻电影的开山之作，最伟大导演的最伟大影片。,斯坦利·库布里克StanleyKubrick,凯尔·杜拉KeirDullea,1968,英国,科幻
雨人,8.7,372173人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,巴瑞·莱文森BarryLevinson,达斯汀·霍夫曼DustinHoffman,1988,美国,剧情
恋恋笔记本,8.6,608053人,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,尼克·卡索维茨NickCassavetes,瑞恩·高斯林RyanGosling,2004,美国,剧情
魔女宅急便,8.7,415535人,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,宫崎骏HayaoMiyazaki,高山南MinamiTakayama,1989,日本,动画
茶馆,9.5,101254人,电影详细信息不详,谢添TianXie,于是之ShizhiYu,1982(中国大陆),中国大陆,剧情
遗愿清单,8.7,395430人,用剩余不多的时间，去燃烧整个生命。,罗伯·莱纳RobReiner,杰克·尼科尔森JackNicholson,2007,美国,冒险
城市之光,9.3,128528人,永远的小人物，伟大的卓别林。,CharlesChaplin,查理·卓别林CharlesChaplin,1931,美国,喜剧
萤火虫之墓,8.7,379174人,幸福是生生不息，却难以触及的远。 ,高畑勋IsaoTakahata,辰己努,1988,日本,动画
可可西里,8.9,272712人,坚硬的信仰。,陆川ChuanLu,多布杰Duobujie,2004,中国大陆,剧情
大佛普拉斯,8.7,397127人,人们可以登上月球，却永远无法探索人们内心的宇宙。,黄信尧Hsin-yaoHuang,庄益增YizengZhuang,2017,中国台湾,剧情
无间道2,8.7,411930人,电影详细信息不详,刘伟强,陈冠希,2003,中国香港,剧情
牯岭街少年杀人事件,8.9,253509人,弱者送给弱者的一刀。,杨德昌EdwardYang,张震ChenChang,1991,中国台湾,剧情
虎口脱险,8.9,228202人,永远看不腻的喜剧。,杰拉尔·乌里GérardOury,路易·德·菲耐斯LouisdeFunès,1966,法国,喜剧
源代码,8.5,767183人,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,邓肯·琼斯DuncanJones,杰克·吉伦哈尔JakeGyllenhaal,2011,美国,科幻
人工智能,8.7,403322人,对爱的执着，可以超越一切。,史蒂文·斯皮尔伯格StevenSpielberg,海利·乔·奥斯蒙Haley,2001,美国,剧情
初恋这件小事,8.5,916829人,黑小鸭速效美白记。,普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn,演职人员不详,2010,泰国,剧情
海边的曼彻斯特,8.6,457805人,我们都有权利不与自己的过去和解。,肯尼斯·罗纳根KennethLonergan,卡西·阿弗莱克CaseyAffle,2016,美国,剧情
背靠背，脸对脸,9.5,103029人,电影详细信息不详,黄建新JianxinHuang,牛振华ZhenhuaN,1994,中国大陆,剧情
东京教父,9.0,186785人,电影详细信息不详,今敏SatoshiKon,江守彻ToruEmori,2003,日本,剧情
罗生门,8.8,283410人,人生的N种可能性。,黑泽明AkiraKurosawa,三船敏郎ToshirôMifune,1950,日本,剧情
小丑,8.7,914236人,电影详细信息不详,托德·菲利普斯ToddPhillips,杰昆·菲尼克斯JoaquinPhoeni,2019,美国,剧情
终结者2：审判日,8.8,312283人,少见的超越首部的续集，动作片中的经典。,詹姆斯·卡梅隆JamesCameron,阿诺·施瓦辛格ArnoldSchwarz,1991,美国,动作
青蛇,8.6,474483人,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,徐克HarkTsui,张曼玉MaggieCheung,1993,中国香港,剧情
奇迹男孩,8.6,513125人,世界不完美，爱会有奇迹。,斯蒂芬·卓博斯基StephenChbosky,雅各布·特伦布莱JacobT,2017,美国,剧情
二十二,8.7,272851人,有一些东西不应该被遗忘。,郭柯KeGuo,演职人员不详,2015,中国大陆,纪录片
波西米亚狂想曲,8.6,542418人,电影详细信息不详,布莱恩·辛格BryanSinger,拉米·马雷克RamiMalek,2018,英国,剧情
房间,8.8,345867人,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,伦尼·阿伯拉罕森LennyAbrahamson,布丽·拉尔森BrieLarson,2015,爱尔兰,剧情
疯狂的麦克斯4：狂暴之路,8.6,478505人,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,乔治·米勒GeorgeMiller,汤姆·哈迪TomHardy,2015,澳大利亚,动作
新龙门客栈,8.6,401695人,嬉笑怒骂，调风动月。,李惠民RaymondLee,张曼玉MaggieCheung,1992,中国香港,动作
无耻混蛋,8.6,431536人,昆汀同学越来越变态了，比北野武还杜琪峰。,QuentinTarantino,布拉德·皮特BradPitt,2009,德国,剧情
魂断蓝桥,8.8,252795人,中国式内在的美国电影。,茂文·勒鲁瓦MervynLeRoy,费雯·丽VivienLeigh,1940,美国,剧情
血钻,8.7,342283人,每个美丽事物背后都是滴血的现实。,爱德华·兹威克EdwardZwick,莱昂纳多·迪卡普里奥Leonardo,2006,美国,剧情
千钧一发,8.8,258022人,一部能引人思考的科幻励志片。,安德鲁·尼科尔AndrewNiccol,伊桑·霍克EthanHawke,1997,美国,剧情
步履不停,8.8,250856人,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,是枝裕和HirokazuKoreeda,阿部宽HiroshiAbe,2008,日本,剧情
黑客帝国2：重装上阵,8.7,371116人,一个精彩的世界观正在缓缓建立。,拉娜·沃卓斯基LanaWachowski,,2003,美国,动作
彗星来的那一夜,8.5,504724人,小成本大魅力。,詹姆斯·沃德·布柯特JamesWardByrkit,艾米丽·芭尔多尼Em,2013,美国,科幻
战争之王,8.7,330497人,做一颗让别人需要你的棋子。,安德鲁·尼科尔AndrewNiccol,尼古拉斯·凯奇NicolasCage,2005,法国,剧情
崖上的波妞,8.6,432852人,电影详细信息不详,宫崎骏HayaoMiyazaki,奈良柚莉爱YuriaNara,2008,日本,动画
心灵奇旅,8.7,857307人,电影详细信息不详,彼特·道格特PeteDocter,杰米·,2020,美国,动画
爱乐之城,8.4,789586人,电影详细信息不详,达米恩·查泽雷DamienChazelle,瑞恩·高斯林RyanGosling,2016,美国,剧情
谍影重重2,8.7,322727人,谁说王家卫镜头很晃？,保罗·格林格拉斯PaulGreengrass,马特·达蒙MattDamon,2004,美国,动作
燃情岁月,8.8,264072人,传奇，不是每个人都可以拥有。,爱德华·兹威克EdwardZwick,布拉德·皮特BradPitt,1994,美国,剧情
阿飞正传,8.5,459808人,王家卫是一种风格，张国荣是一个代表。,王家卫KarWaiWong,张国荣LeslieCheung,1990,中国香港,犯罪
海洋,9.1,149010人,大海啊，不全是水。,雅克·贝汉JacquesPerrin,演职人员不详,2009,法国,纪录片
谍影重重,8.6,387828人,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,道格·里曼DougLiman,马特·达蒙MattDamon,2002,美国,动作
再次出发之纽约遇见你,8.6,392329人,爱我就给我看你的播放列表。,约翰·卡尼JohnCarney,凯拉·奈特莉KeiraKnightley,2013,美国,喜剧
穿越时空的少女,8.6,352661人,爱上未来的你。 ,细田守MamoruHosoda,仲里依纱RiisaNaka,2006,日本,剧情
火星救援,8.5,647644人,电影详细信息不详,雷德利·斯科特RidleyScott,马特·达蒙MattDamon,2015,英国,剧情
香水,8.5,505670人,一个单凭体香达到高潮的男人。,汤姆·提克威TomTykwer,本·卫肖BenWhishaw,2006,德国,剧情
朗读者,8.6,425734人,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,史蒂芬·戴德利StephenDaldry,凯特·温丝莱特KateWinslet,2008,美国,剧情
末路狂花,8.9,211077人,没有了退路，只好飞向自由。,雷德利·斯科特RidleyScott,吉娜·戴维斯GeenaDavis,1991,美国,犯罪
地球上的星星,8.9,188366人,天使保护事件始末。,阿米尔·汗AamirKhan,达席尔·萨法瑞DarsheelSafary,2007,印度,剧情
我爱你,9.1,151058人,你要相信，这世上真的有爱存在，不管在什么年纪 ,秋昌民Chang-minChoo,宋在河Jae-hoSong,2011,韩国,剧情
完美陌生人,8.5,488144人,来啊，互相伤害啊！,保罗·格诺维瑟PaoloGenovese,马可·贾利尼MarcoGiallini,2016,意大利,剧情
千年女优,8.8,225656人,爱情是一场没有尽头的虚幻追逐。,今敏SatoshiKon,庄司美代子MiyokoShôji,2001,日本,动画
驴得水,8.3,847334人,过去的如果就让它过去了，未来只会越来越糟！,周申ShenZhou,任素汐SuxiRen,2016,中国大陆,剧情
聚焦,8.8,253223人,新闻人的理性求真。,托马斯·麦卡锡ThomasMcCarthy,马克·鲁弗洛MarkRuffalo,2015,美国,剧情
浪潮,8.7,253028人,世界离独裁只有五天。,丹尼斯·甘塞尔DennisGansel,尤尔根·沃格尔JürgenVogel,2008,德国,剧情
